,用户ID,评论内容,手机型号
10,17330346172.0,性价比高得一批，以后就用联发科方案的红米手机了，发热，续航都调教得很好，还第一时间解锁BL刷了面具装了框架，这手机真香,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
11,17282922530.0,"外形外观：银色超级超级喜欢，小米的品控越来越好。
运行速度：12G内存，再也不用经常清系统垃圾了。
屏幕音效：屏幕显示效果惊艳。
购物平台京东最给力，发布会那天预约的，今天0点付款，下午收到，想想就兴奋，等不及体验看看游戏的速度再来追评！
出厂的屏幕保护膜是挺好，但是两边没对齐哦。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
12,17352008735.0,"外形外观：外观感觉还不错，带壳塑料边框也没什么感觉
屏幕音效：2K屏是真的清晰，音效也不错
拍照效果：这个价位还能对拍照有什么要求呢
运行速度：运行速度很快，很流畅，但是细节还需要打磨，希望越来越好
待机时间：待机不错，一天一充，120W充的是真快",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
13,17363344875.0,"外形外观：看起来还是挺好看的，手感也还不错
屏幕音效：2K屏幕非常清晰
拍照效果：对拍照没什么要求，总体还是不错的
运行速度：非常顺畅，
待机时间：电池耐用",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
14,17303316245.0,"买的手机，非常好。质量也可以，买电器，手机，选择，京东，挺好的，方便，快捷。下次。购买手机。还是选择京东商城。
外形外观：外现时尚，自己喜欢的款式。
屏幕音效：屏幕分辨效果，挺好的。
拍照效果：拍照清楚，.大牌子，就是不一样。



运行速度：8GB的运型速度.反应挺快的，没有卡顿。
待机时间：待机时间挺长的，用了很久，电只是消耗了，一点电。
其他特色：外观大方，反应又快，照相清楚，值得，买的一款手机。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
15,17397411718.0,屏幕2k屏超清晰，充电超快，运行速度很快，天玑9000发热控制不错，墨羽色很喜欢，总体感觉不错！！！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
16,17365470082.0,买了两台，一台我用，一台家人用，这我用的，拍照摄像还不错，比换用的手机是有明显提升的，手机外观虽然网上都说廉价感，但上手感觉还是很精致的，都说塑料边框不好，是没吃过金属边框烫手的苦，精挑细选还是这款黑色，两台同样颜色，我们用外壳区分，上手很舒服，重量和大小都很不错，上个壳和钢化膜手感也比以前的手机好，2k120hz的高素质屏幕加上120w5000毫安的单芯快充，没谁了。打算用两年再换新手机，侧边指纹好顶赞，比屏下指纹好的不是一点半点，是质的提升，蓝牙效果很好，这台会玩游戏，充电发热有一定感知，但相比之前的手机，简直就是清凉，之前用的红米k30u。目前系统是开发版公测，没有什么常驻bug，很不错。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
17,17331835112.0,发烫这个问题vc液冷也没用,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
18,17332052312.0,颜值高，选了喜欢的墨羽色，外观看着很细致，看视频画质清晰，声音效果也很好。一亿像素，拍照效果杠杠的，重点是120W快充，充满电速度很快，同京东物流一样快。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
19,17325171186.0,"一直都是用这个牌子的手机，我们家人手一部，刚拿到就****，，非常满意。
屏幕音效：双扬声器打游戏的声音很奈斯
待机时间：5000的电池配120W的充电器，20分钟就充满了
运行速度：天玑9000打游戏也很好
拍照效果：很好
外形外观：很喜欢的墨羽颜色好看",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
20,17283183684.0,"外形外观：银色质感好
屏幕音效：屏幕绝了，非常清晰，对比k20pro
拍照效果：拍照可以用
运行速度：运行速度没问题，旗舰水平",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
21,17348861172.0,"外形外观：线条流畅，手感挺好的
屏幕音效：颜色有些浅黄，不刺眼
拍照效果：非常好，清晰不失真
运行速度：挺快的，以前的用了四年了哈哈，新手机觉得挺快的嘛
待机时间：可以玩一整天，闪充奥利给！！最喜欢的！！
其实就是因为王一博买的！！我是百香果，同品类永远偏向博君一肖?",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
22,17331432957.0,"Redmi K50 Pro幽芒色，一个骚气又好看的颜色?特别特别特别的爱不释手。真的，在灯光下照耀的颜色很炫
天玑9000处理器很流畅，三星2K屏清洗色泽很好，OIS光学防抖的功能很实用，特别是我们这些女孩子很满意，哈哈哈?
这个手机电池容量也很给力，以后出去拍照也能战斗很久了，好开心，而且包装简洁大气，还很贴心的配送了保护套，买回来都不用着急怕磕碰到了。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
23,17283642588.0,整体来说，相当丝滑。侧边指纹解锁也挺好用，像素与其它方面，整体非常不错。2k屏那是真香。系统用惯了，家里面也是米家生态链。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
24,17296232147.0,"外形外观：外形很美观，手持很适合，我很喜欢！
屏幕音效：不愧是三星2K屏幕，非常清晰，不辣眼睛，看着非常舒服。
拍照效果：一亿像素，超清楚，成熟的成像方案和CMOS感应原件，每拍一张照片都是大片来的，超级满意！
运行速度：12+256的大运行内存，开十几个应用都不卡顿，非常好，很流利！安兔兔系统评测轻松过百万，超好！存储测试顺序读和顺序读如此好的成绩，与目共睹！
待机时间：5000毫安大电池，更优的系统方案，电池真的很耐用，待机一天半没问题，再也不担心电量不够用。
其他特色：作为12年的米粉，入手K50pro手机，很棒，尤其是喜欢侧边指纹解锁，反应灵敏，比屏下指纹解锁快很多，机身轻薄，手感好，120w神仙闪充回血一字快，红米手机值得拥有。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
25,17313095564.0,"Redmi K50 Pro采用了6.67英寸三星AMOLED直屏，分辨率为3200&times;1440，支持120Hz的屏幕刷新率。Redmi K50 Pro的屏幕峰值亮度达到了1200nit，支持1.6万级自动亮度，并且支持环境色温感应以及杜比视界。Redmi K50 Pro机身厚度只有8.48mm，非常的薄，但电池容量却达到了5000毫安时，将大电池与纤薄机身完美融合，手机重量为201g，整机手感还是非常出色的。日常使用非常棒的，不压手。
K50 Pro采用双立体声扬声器，并且保留了3.5mm耳机孔，方便有线耳机使用。同时手机支持蓝牙5.3，也将带来更稳定、省电的无线蓝牙连接体验。实用的时候感觉蓝牙传输速度比我原来的小米8快好多。在《王者荣耀》游戏中，Redmi K50 Pro可以以120帧的帧率运行游戏，经过一局游戏的测试，Redmi K50 Pro运行《王者荣耀》的平均帧率为115.5FPS，在整个游戏过程中画面流畅，可以明显感受到超高帧率带来的游戏体验升级。游戏性能超赞的，超级推荐",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
26,17397976159.0,"外形外观：黑色的很好看很有质感 比图片好看多了

屏幕音效：屏幕很细腻色彩鲜艳

拍照效果：1亿像素 拍照很清晰
运行速度：运行速度很快 非常棒的手机 
待机时间：大概可以使用一天。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
27,17314202101.0,由于天玑9000八核处理器加持，整体性能非常强悍！2k屏120hz刷新率打游戏666！120w充电时间大幅度缩短，再也没有电量焦虑！1亿像素三星 S5KHM2 主摄 + OIS 光学防抖，拍摄视频还要什么稳定器！杜比立体声双扬声器外放音乐效果完美，声音自然不刺耳！整体上看，Redmi K50 Pro绝对是太良心产品，可以预测Redmi K50 Pro很有可能成为2022年销量机皇！！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
28,17285144376.0,各个点都在我的兴趣点上，直屏，大电池，120w快充，miui系统，性能也很够用，起码这号不比火龙差，非常满意。背面这个玻璃反射效果非常漂亮,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
29,17327139892.0,"外形外观：外观美，挺不错
屏幕音效：不愧是2K屏幕，非常清晰，看着舒服
拍照效果：一亿像素超清晰，超级满意
运行速度：非常流畅，打游戏流畅不卡，感觉挺好
待机时间：电池很耐用，5000毫安电池，待机一天半没问题，再也不用担心电不够用
其他特色：不错的一次购物，红米手机值得拥有",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
30,17365402809.0,买了两台，一台我用，一台家人用，这台家人用的，拍照摄像还不错，比换用的手机是有明显提升的，手机外观虽然网上都说廉价感，但上手感觉还是很精致的，精挑细选还是这款黑色，两台同样颜色，我们用外壳区分，上手很舒服，重量和大小都很不错，上个壳和钢化膜手感也比以前的手机好，2k120hz的高素质屏幕加上120w5000毫安的单芯快充，没谁了。打算用两年再换新手机，家人之前用的红米note8pro。这台不玩游戏，室温24-26度，发热卡顿现象几乎都没有，系统是稳定版。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
31,17290465433.0,手机颜值很高，像素很给力，后面两张是实拍图，买到就是赚到。关键充电贼快，价格很不贵才3000多，就能买到 2022年安卓系列最好的处理器了。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
32,17325022169.0,"外形外观：好看
屏幕音效：2k屏幕还是很不错的

运行速度：快
拍照效果：挺好
其他特色：充电真快",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
33,17351325236.0,"1.用了大概两个星期，入手这部机子是冲着天玑9000和2k屏幕来的.
2.买的8+256G大容量版本，爽爆，视频应用什么的可以随便下了；
可玩性高
3.屏幕观感不错，2k确实清楚很多，而且跟iPhone和iqoo9pro比，偏色没那么大；
天玑9000打游戏好用，温度也适合。
5、回血快，20分钟左右满了
1、续航一般般，看视频打游戏掉电挺快的，应该是跟屏幕设置全部调的最高有关
2、非常偶尔会有卡顿和明显掉帧的情况，具体原因还在调查 
3、侧边指纹解锁真的不错，妙解，比光学指纹，超声波指纹好多了。
4、拍照扫码级别。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
34,17285910234.0,"外形外观：外形外观很大气
屏幕音效：2k的屏幕很清晰
运行速度：9000处理器很快，玩游戏一点也不卡顿
待机时间：5000毫安的大电池，120w的充电，只需20分钟充满",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
35,17328903907.0,"外形外观：简约时尚，没有什么太多的花哨设计
屏幕音效：音效都不错，声音清晰
拍照效果：拍照效果也很高，照片质量高档
运行速度：天矶9000处理器运行很好，打开应用反应很快，也不发热
其他特色：整体性价比很高的一台手机",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
36,17334846740.0,"外形外观：不错不错，我对这个没有太大的需求，主要看中性能，外观不错，符合我的审美
屏幕音效：屏幕清晰，杜比音效很舒服
拍照效果：可圈可点，这个价位拍照性能我要的性能
运行速度：非常快，丝滑，天玑9000没有让我失望
待机时间：强，5000毫安大电池可以的
其他特色：120w充电yyds",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
37,17291722926.0,K50 pro 天玑9000真的太给力了，比k40 pro 骁龙888好用，相比上一代拍照真的好了很多，希望miui系统越来越好用，所有应用双开最赞。2k 120HZ高刷屏不是一般的清晰丝滑。续航方面固定120hz，2k分辨率打开，随便用一天，没有焦虑了，充电19分钟充满,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
38,17304227872.0,手机手感不错，特别是显示效果非常好。此外，开启WIFI，网速非常快，还支持5G。存储256G足够用几年了，不卡。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
39,17302319470.0,手机还行，但是这个我也不想说什么了,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
40,17282637950.0,"外形外观：绿色外观大气，磨砂工艺不沾指纹
屏幕音效：2k分辨率果然不错，2k+直屏，视觉效果很出色
拍照效果：一亿像素，光学防抖好评！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
41,17293024404.0,"外形外观：外观特别棒，手感特别好
屏幕音效：音效很棒，杜比音质，2K的屏幕好清晰
拍照效果：拍照效果杠杠的。特别清晰，特别好
运行速度：运行速度那是杠杠的，不带卡壳的
待机时间：待机一天没问题
其他特色：感觉非常棒",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
42,17335684713.0,"非常流畅，手感很好，偶尔打打游戏，没有卡顿现象。充电无敌！
发热还行，可接受！
8+256内存绝对够用！",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
43,17316251110.0,K40就那个了，感觉放备用机很是牛。性价比高。这k50一出就上了，整体来说真的很不错。性价比很高，游戏体验明显温度低很多运行也比较流畅120hz高刷自适应屏幕真心舒服可以说这次天际9000的功耗调节的非常不错YYds不要盲目的跟风自己好用才是硬道理,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
44,17307918252.0,"外形外观：银色的很酷炫，手感舒适。
屏幕音效：120hz使用体验丝滑流畅，上下双扬声器音效不错
拍照效果：拍照图片很清晰。
运行速度：8+256切换应用很流畅。9000处理器不输高通8
其他特色：120w快充速度特别快",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
45,17368941279.0,"手机是真的好用啊，非常非常nice
手机
充电16分钟 5000万大电池大电量
屏幕2k分辨率 显示效果好，清晰，色彩还原真实（苹果都不到1k）屏幕刷新率高，120/s画面更流畅，苹果的只有60/s画面 ，
1亿零八百万像素 拍照好",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
46,17317392831.0,"外形外观：颜色特别好看，看不腻的那种。
屏幕音效：还不错。
拍照效果：挺真实的
待机时间：比较长",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
47,17374145579.0,"运行速度：天机9000+12G，2k屏加高刷，非常流畅，细腻
拍照效果：1亿像素拍照清晰，速度很快
屏幕音效：双扬声器避免了遮挡
待机时间：120W秒充，随时可以保证有电",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
48,17391692686.0,"晚上下的单第二天早上就给送来了，京东没的说。
新手机到手，老手机数据很快转入，一点也不卡顿，系统很流畅，屏幕清晰，而且充电是真的太快了，不错(*?&acute;╰╯`?)?",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
49,17306355662.0,"外形外观：非常的酷炫，很喜欢
屏幕音效：挺好的
拍照效果：超级好
运行速度：天玑9000很快，打游戏很爽
待机时间：挺长的，优化很好
其他特色：一个字。爽",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
50,17286386568.0,天玑9000很强，120w快充很快，侧边指纹很实用，5000mAh电池续航很强，2k直屏清晰加倍，ois很稳，杜比立体双扬声器很强。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
51,17380602053.0,"外形外观：首先是我喜欢的直面屏 很棒 虽说是塑料中框但不拉夸 后面也好看 我选的是绿色大爱
屏幕音效：屏幕显示相当细腻 不亏是2K屏 分辨率也高 上下双喇叭看剧很舒服
拍照效果：我对拍照没多大要求 一亿像素绝对够用效果也不错
运行速度：天玑9000的性能不是盖的 比火龙系列不逊色 发热控制的很好 流畅度也好 特别丝滑
待机时间：电池大 充电快 120w20多分钟充满 还在乎待机吗？你以为某果呢 充个电半天用半天
其他特色：我想跟那些某果的舔苟说 都什么年代了还说国产卡卡卡 中高端机都这么丝滑柔顺 高端机更不用说了",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
52,17288047453.0,3月23日收到货，京东物流还是一如既往的给力，外观设计还行，带套也没有什么影响，屏幕是亮非常好，玩了几报王者荣耀120帧很稳，拍照扫码够用，玩游戏还是很稳的,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
53,17313999124.0,"第一次用红米，挺适应的，反应很快，充电很香，充一次电可以用上一整天；朋友说不打游戏的我用这手机浪费了，哈哈哈哈
拍照效果：清晰

运行速度：非常666
屏幕音效：大屏幕，全屏",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
54,17317564353.0,这部手机很实用，性价比很高，物有所值，系统很流畅，可以入手，推荐大家购买,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
55,17321314742.0,这款手机买的挺满意的，用起来很流畅，外观也比较好看，手感极好，拍照很清晰，充电嘎嘎快，屏幕很清晰，很满意的一次购机。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
56,17334774924.0,"通信音质:非常清晰明了，没有什么杂音其他特色：使用
流畅，电池特别抗用，续航在线，充电确实像描述的一样
快,运行原神没有太大压力,屏幕大小刚好合适,黑色后
壳在阳光下超级好看！手机后置摄像头像素也够用，光学
防抖很好用显示效果：显示效果非常好，色彩分明",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
57,17310997804.0,首发买入，这次送货很快了，次日就到了。用了一段时间，使用感受相当不错，屏幕看起来很舒服，120w快充是真滴快，预装的三方都可以删除，绿色实物比图片感觉好很多，作为不玩游戏的人，这台手机应该可以用很久。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
58,17329608299.0,红米k50pro手机真不错，与卖家描述的一样，是原装正货，红米大牌品质有保证，包装完好无缺，用料扎实，做工细致，挖孔很小的2k屏亮丽，机器功能强大，运行速度快而且稳定，系统操作流畅，机身大小厚薄刚好合适，是非常喜欢的机型。卖家服务好，发货及时，京东自营物流送货快捷迅速，上午下单，下午就收到，点赞加好评的！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
59,17316742404.0,"手机到手很惊艳，屏幕完美，杜比立体声也还行。原来时间是华为P30pro.对比一下，拍照确实没有好。说实话。
运行速度：12'G大内存运行起来没的说。
外形外观：银色很不错，带壳塑料边框就无所谓了。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
60,17291537832.0,除了打游戏卡，其他都还行。,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
61,17328580560.0,外观大气炫酷，音效特别好，拍照也清晰，运行也流畅，不卡顿，充电也不卡顿！,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
62,17397155299.0,这手机壳很漂亮，质量很好，做工精细，手感很好，手感不错，满意。速度也挺快就是有点发烫，电池一般没红米9耐用！其余的都还行不错,Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
63,17334600659.0,"外形外观： 很大气美观，喜欢，2k屏幕,非常nice,音效很不错，听起来很饱满，音色圆润，运行速度很快，拍照超清晰，120W充电速度非常快，一次非常愉快的选择。",Redmi K50Pro 天玑9000 AMOLED 2K柔性直屏 OIS光学防抖  120W快充 幽芒 12GB+256GB  5G智能手机 小米红米
